frame,processed_frame,timestamp_s,model,processing_time_ms,landmark_idx,landmark_name,x,y,z,visibility,presence,passed_filter,exercise
0,0,0.0,unknown,154.9239158630371,0,Nose,0.44663238525390625,0.43401065468788147,-0.3145422339439392,0.9999990463256836,0.9999996423721313,True,flexao
0,0,0.0,unknown,154.9239158630371,1,Left Eye (Inner),0.45633336901664734,0.4242537021636963,-0.29128503799438477,0.9999983310699463,0.9999984502792358,True,flexao
0,0,0.0,unknown,154.9239158630371,2,Left Eye,0.46019741892814636,0.42455023527145386,-0.29153120517730713,0.9999977350234985,0.9999985694885254,True,flexao
0,0,0.0,unknown,154.9239158630371,3,Left Eye (Outer),0.4633401036262512,0.4248259663581848,-0.29151079058647156,0.9999985694885254,0.9999979734420776,True,flexao
0,0,0.0,unknown,154.9239158630371,4,Right Eye (Inner),0.44217729568481445,0.4214554727077484,-0.33185914158821106,0.999998927116394,0.9999978542327881,True,flexao
0,0,0.0,unknown,154.9239158630371,5,Right Eye,0.4365135133266449,0.4198318123817444,-0.3323434591293335,0.999998927116394,0.9999980926513672,True,flexao
0,0,0.0,unknown,154.9239158630371,6,Right Eye (Outer),0.4312673807144165,0.418239027261734,-0.3324957489967346,0.9999990463256836,0.9999974966049194,True,flexao
0,0,0.0,unknown,154.9239158630371,7,Left Ear,0.45450109243392944,0.4234195351600647,-0.12727075815200806,0.9999994039535522,0.9999991655349731,True,flexao
0,0,0.0,unknown,154.9239158630371,8,Right Ear,0.4150165915489197,0.41483527421951294,-0.3112897276878357,0.999998927116394,0.9999977350234985,True,flexao
0,0,0.0,unknown,154.9239158630371,9,Mouth (Left),0.4449540376663208,0.4400022029876709,-0.24273023009300232,0.9999990463256836,0.9999990463256836,True,flexao
0,0,0.0,unknown,154.9239158630371,10,Mouth (Right),0.431019127368927,0.43764472007751465,-0.29821136593818665,0.9999990463256836,0.9999985694885254,True,flexao
0,0,0.0,unknown,154.9239158630371,11,Left Shoulder,0.4247729182243347,0.4650968313217163,0.09554222971200943,0.9999978542327881,0.9999996423721313,True,flexao
0,0,0.0,unknown,154.9239158630371,12,Right Shoulder,0.33888688683509827,0.45351406931877136,-0.324711412191391,0.999998927116394,0.9999986886978149,True,flexao
0,0,0.0,unknown,154.9239158630371,13,Left Elbow,0.4256821870803833,0.5269960165023804,0.1996399462223053,0.8832715153694153,0.999997615814209,True,flexao
0,0,0.0,unknown,154.9239158630371,14,Right Elbow,0.29078635573387146,0.5237342119216919,-0.3963730037212372,0.9997976422309875,0.9999520778656006,True,flexao
0,0,0.0,unknown,154.9239158630371,15,Left Wrist,0.46898069977760315,0.5819090604782104,0.10226976871490479,0.984119713306427,0.9999988079071045,True,flexao
0,0,0.0,unknown,154.9239158630371,16,Right Wrist,0.3141312897205353,0.5956577658653259,-0.43239423632621765,0.9996813535690308,0.9999525547027588,True,flexao
0,0,0.0,unknown,154.9239158630371,17,Left Pinky,0.4798681139945984,0.5987718105316162,0.08940530568361282,0.9784808158874512,0.9999949932098389,True,flexao
0,0,0.0,unknown,154.9239158630371,18,Right Pinky,0.3065589666366577,0.615469753742218,-0.4811200201511383,0.9989601373672485,0.9998156428337097,True,flexao
0,0,0.0,unknown,154.9239158630371,19,Left Index,0.4834183156490326,0.599606990814209,0.037747930735349655,0.9818992614746094,0.999994158744812,True,flexao
0,0,0.0,unknown,154.9239158630371,20,Right Index,0.32570457458496094,0.6152412295341492,-0.4947221577167511,0.9990058541297913,0.999816358089447,True,flexao
0,0,0.0,unknown,154.9239158630371,21,Left Thumb,0.47832533717155457,0.5946462750434875,0.07831593602895737,0.9773980975151062,0.9999969005584717,True,flexao
0,0,0.0,unknown,154.9239158630371,22,Right Thumb,0.3306903541088104,0.6092708706855774,-0.437519371509552,0.9977479577064514,0.9999220371246338,True,flexao
0,0,0.0,unknown,154.9239158630371,23,Left Hip,0.3548508584499359,0.5903146862983704,0.1372084617614746,0.9999716281890869,0.999995231628418,True,flexao
0,0,0.0,unknown,154.9239158630371,24,Right Hip,0.3226315677165985,0.5866702795028687,-0.1377338171005249,0.999980092048645,0.9999884366989136,True,flexao
0,0,0.0,unknown,154.9239158630371,25,Left Knee,0.2776343822479248,0.6842361688613892,0.09674917906522751,0.8727094531059265,0.9999171495437622,True,flexao
0,0,0.0,unknown,154.9239158630371,26,Right Knee,0.3315325379371643,0.6918909549713135,-0.10604070127010345,0.9818547964096069,0.9996427297592163,True,flexao
0,0,0.0,unknown,154.9239158630371,27,Left Ankle,0.17058165371418,0.7743585109710693,0.1198040023446083,0.9401107430458069,0.9999024868011475,True,flexao
0,0,0.0,unknown,154.9239158630371,28,Right Ankle,0.3044489920139313,0.7880926728248596,-0.036428555846214294,0.9833120107650757,0.993399977684021,True,flexao
0,0,0.0,unknown,154.9239158630371,29,Left Heel,0.14099325239658356,0.7821115851402283,0.11356507986783981,0.9280369877815247,0.9994868040084839,True,flexao
0,0,0.0,unknown,154.9239158630371,30,Right Heel,0.28705304861068726,0.8058378100395203,-0.036411646753549576,0.9336103200912476,0.9915382862091064,True,flexao
0,0,0.0,unknown,154.9239158630371,31,Left Foot Index,0.1920587569475174,0.8120641708374023,-0.008119926787912846,0.9665928483009338,0.9990386962890625,True,flexao
0,0,0.0,unknown,154.9239158630371,32,Right Foot Index,0.3317238986492157,0.8078217506408691,-0.17854245007038116,0.9789035320281982,0.9854413866996765,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,0,Nose,0.45225048065185547,0.4340166747570038,-0.24148760735988617,0.9999986886978149,0.9999990463256836,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,1,Left Eye (Inner),0.4586840569972992,0.4242457449436188,-0.21612943708896637,0.9999977946281433,0.9999977350234985,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,2,Left Eye,0.46173444390296936,0.4244636297225952,-0.21648339927196503,0.999997079372406,0.9999978542327881,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,3,Left Eye (Outer),0.46471890807151794,0.42464596033096313,-0.21643920242786407,0.9999980926513672,0.9999971389770508,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,4,Right Eye (Inner),0.44847866892814636,0.42173486948013306,-0.2599000334739685,0.9999986290931702,0.9999972581863403,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,5,Right Eye,0.44426488876342773,0.42033520340919495,-0.2604176700115204,0.9999986886978149,0.9999977350234985,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,6,Right Eye (Outer),0.44011035561561584,0.41899263858795166,-0.2605503797531128,0.9999988675117493,0.9999972581863403,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,7,Left Ear,0.4548753798007965,0.42305830121040344,-0.05805520713329315,0.9999990463256836,0.9999978542327881,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,8,Right Ear,0.4213430881500244,0.41508781909942627,-0.25634580850601196,0.9999984502792358,0.9999967813491821,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,9,Mouth (Left),0.44747117161750793,0.44002991914749146,-0.1723455935716629,0.9999982714653015,0.999997615814209,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,10,Mouth (Right),0.4367356300354004,0.43781939148902893,-0.23241060972213745,0.9999984502792358,0.999996542930603,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,11,Left Shoulder,0.42743292450904846,0.46490946412086487,0.16062451899051666,0.9999970197677612,0.9999991655349731,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,12,Right Shoulder,0.3446209728717804,0.45344164967536926,-0.3091026842594147,0.9999988675117493,0.9999988079071045,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,13,Left Elbow,0.4257223606109619,0.5269919633865356,0.26628783345222473,0.8642244338989258,0.9999938011169434,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,14,Right Elbow,0.2920003831386566,0.5237162709236145,-0.3999195098876953,0.9997750520706177,0.9999667406082153,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,15,Left Wrist,0.47071191668510437,0.5819504857063293,0.1487862914800644,0.9786688089370728,0.9999972581863403,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,16,Right Wrist,0.3144192695617676,0.5957217812538147,-0.4830228388309479,0.9996816515922546,0.9999938011169434,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,17,Left Pinky,0.482593834400177,0.5987691283226013,0.13747592270374298,0.973307192325592,0.9999916553497314,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,18,Right Pinky,0.30682578682899475,0.6155863404273987,-0.5434739589691162,0.9989925622940063,0.9999793767929077,True,flexao
2,1,0.06666666666666667,unknown,93.97268295288086,19,Left Index,0.485362708568573,0.5995920300483704,0.07640978693962097,0.9774429798126221,0.9999899864196777,True,flexao
